x,y,R
0,0,10000
1,0,10000
2,0,66.6814747537374
2.99988755206813,0.0149961068012972,60.2232218626888
3.99938826434521,0.0465924065468204,72.9273550154271
4.99836176818461,0.0918907357305848,55.362048167227
5.99635413405147,0.155225068216678,41.3454621545942
6.99252292576376,0.242676417082666,32.101183711415
7.98548460750111,0.361112469876269,75.9296150533527
8.97680040663184,0.492615269822921,84.1601209479797
9.96648373307189,0.635887435181588,-146.941564501652
10.9571191622366,0.772421117778865,-215.723128659611
11.9483768571633,0.904361188450036,10000
12.9396345520899,1.03630125912121,270.464355391458
13.9303976447664,1.17190544117343,258.506461580517
14.9206287578463,1.31134124248964,156.213414984487
15.9099469895333,1.45711310689306,131.6763383997
16.8981296559724,1.6103939528892,147.649503097464
17.8852515261474,1.77036399202834,178.630470265786
18.8714623970746,1.93585755101197,5021.58669201542
19.8576402920192,2.10154750098647,10000
20.8438181869639,2.26723745096097,117.868423788823
21.8285548874281,2.44128810668751,78.2794433456353
22.8109878449288,2.62790397958264,81.1125699238166
23.7910454979154,2.82661733299024,68.2029256860476
24.7680843512236,3.03967854280149,62.0788103858623
25.7415644835028,3.268450114588,60.4406780912709
26.7111264906876,3.51329601351961,46.1342248983766
27.6751539002723,3.77909886070034,289.26670270555
28.6382566661172,4.0482327723912,-34.789060658239
29.6086966743181,4.28957524789647,-16.9428494741152
30.5916830997895,4.47325346472972,-15.1223653542164
31.5846583820862,4.59157543541824,-11.9330171793036
32.5840529681386,4.62636712076599,-10.4518403164635
33.5822004614053,4.56552649547946,-9.54069099900423
34.5685048464802,4.40059117487756,-8.34950005966832
35.528037041717,4.11899222902728,-8.38680255511312
36.4472595579471,3.72525378074507,-7.3236650408079
37.3043307256689,3.21005574749955,-8.36828794969258
38.0938706010064,2.59635648462563,-7.84555214730797
38.7989946863314,1.88727255144525,-7.6665845979119
39.4059007662609,1.09249899240806,-7.82003550634618
39.906495185877,0.226817049054056,-21.9633785130352
40.3671696529897,-0.660752123095601,13.8232978235052
40.8907914373266,-1.5127029590996,8.67993705362061
41.5088768125249,-2.29881393661228,8.52127954738198
42.2147520894503,-3.00715008098545,8.56227607050043
42.9983582975782,-3.62840792647597,11.669638686981
43.8322611578979,-4.18031916893315,9.34567770242284
44.7203373897955,-4.64001537985789,14.875699462911
45.63728697996,-5.03901844888993,10.4944235647828
46.5880397703633,-5.34896865705301,15.1431271535461
47.5571734517496,-5.59550447108961,18.6240453923598
48.5381415799115,-5.78967329333088,36.2689560155872
49.5240897674774,-5.95672469690307,20.1312648044921
50.5171164850909,-6.07461421342488,14.6252471911191
51.5158772491455,-6.12438304086868,13.6332604420324
52.5155997103569,-6.10082459123032,13.4421558308007
53.5108061050357,-6.00302769971262,17.4785982780309
54.4987919511764,-5.84848331183132,33.0803657467766
55.4816553379383,-5.66414784871338,91.6278145465346
56.4624484461748,-5.4690968839994,70.7479276971808
57.4403866869376,-5.26020265896274,56.4812185195454
58.4144733768719,-5.03402768136131,69.6385679134648
59.3852119083783,-4.79388875605187,156.914836446916
60.3544003602572,-4.54756834531707,-444.714164768762
61.3241402461747,-4.30342790692001,-341.738142056815
62.2945903871864,-4.06212617917974,-128.383825022936
63.2668906040877,-3.82839067008099,-64.4573342169513
64.2426998721615,-3.60976708411359,-35.7170002872149
65.2242469016323,-3.41854619368334,-24.2969997401197
66.2128306363512,-3.26787370299786,-18.6157857863503
67.208078292035,-3.17049760810869,-19.8466824899788
